Trimmed Review,Rating
love it,1
dawn  war   is such  great game in terms  graphic  sound  animation    unfortunately  it lacks good game design  gameplay mechanics that could be fixed   i still hope   somehow could be    do not u get it dev  we want soulstorm in dow   graphics ,1
   e n d  e s s  t   s ,0
if i wanted  play starcraft  i would play starcraft  not  shitty version  it that totally breaks what dow      were  it helps  little now though that i have learned there is  pause button in singleplayer where you can queue commands right about when i am mostly through with  campaign   makes no sense that they increase micro management     quicker   while at  same time increase  scale  fights  combat  unit pop   only thing i can guess what relic was thinking was that they tried too hard  make it like other games  they should have learned by   that dow needs its own formula ,0
i am not one  be negative about games  but this is not worth  buy at all  this game could have been great  relic really let me down on this one  if you are on   about buying it  just pass on it  there are other warhammer titles ,0
very fun game   recommend  game ,1
thanks for   great franchise   despite some nice game design features  this game is an insult  every previous dawn  war instalment  all they had  do was improve on dawn  war ii  they would have ended up with  great game  by every gamer    instead  that they decided   develop  release  garbage game ,0
i started this franchise with dawn  war   i personally like  hero elite form  rts rather than  base building  massive army battles  i have seen many say that dow   is  mixture        that it is not very good  i would   only on  premise that i did not play  original   i think  campaign is very good  even if i do  with it at times  looking at you campaign mission     i have only played  multiplayer with ai     while i do understand  moba feel  i have  say  i kind  enjoy it  i recently also tried  annihilation mode as well  had  fun time with it    i can see where  loyal fans  dawn  war were let down with   but i still feel that it is  great game with  good campaign  pretty decent multiplayer  it is sad that development stopped on dow   but hopefully   will be  game that  loyal fans wanted  i will still be enjoying       eventually will  into  original    ,1
sad  see what was previously an excellent rts series turn down    an moba cash grab  if you like bland   gameplay  look no further ,0
this is  first time i have not completed  games campaign   game was   boring   total waste  money  i was  fan  both dawn  war    could appreciate  different  for each game  however  this game can not  on what it is trying  be      very disappointing    ,0
i will upvote anything with  warhammer  in  name  even if it is    not fantasy    but damn this micromanagement hell is annoying  i do not have enough add  keep track  everything  this game would be  lot more fun if there were not so many  things  micromanage  this is exactly why dow   is failing compared    what were they thinking ,1
been   emperor since  early   is  game is still awesome  although i wish that  chaotic  was  same as back then ,1
this sad blend  rts  moba missed   by sooo much  all they had  do was make new textures  models for dawn  war    one   most fun rts ever   even dawn  war   was better than this  despite all  rts elements they removed   singleplayer was less fun than playing   or   because  gameplay formula is dull  multiplayer was dead on arrival  steam     says  player population    per day currently  it was  moba with extra steps ,0
i feel sorry for  obviously talented sound  graphic designers who worked hard on making this game look  sound  mostly  great    game itself is dull  monotonous  uninspired  just outright boring   same environments   same terrain meant  same tactics    plot was not too bad  until towards  end     into  planet  really    using    orks usually  down    lots  things     which was fine  but  eldar were just fucking terrible which made even  simplest mission frustrating  throw in  regular crashes  oh boy did i save  lot   at times i got so pissed off i had  close steam  do something else    sad disappointment   game which had so much  ,0
fun story  distinct races   gameplay that  up years later  recommended  anyone who loves  good rts ,1
